,attrs_json,count,percentage,demo_name,table analysed
0,"{""details"":""[\""Item 2237618\""]"",""how_to_use"":""[\""How To Use\"",\""To open, insert pump into liter bottle. Firmly secure cap on liter bottle, twisting cap in a clockwise motion. To open spout, hold the cap on the neck of the bottle and twist the spout counter-clockwise until it pops up.\""]"",""summary"":""[\""Summary\"",\""Highlights\"",\""Clean Ingredients\"",\""Cruelty Free\"",\""Vegan\"",\""Sustainable Packaging\"",\""The Jumbo Liter Pump by AG Care can be used on any liter-size bottle. Perfect for dispensing product with ease, this pump will help ensure that you enjoy every liter-size product to the very last drop.\""]""}",84418,1.06,odele,_filter_items
1,"{""details"":""[\""Benefits\"",\""Activated by heat, effects last through 3 to 4 shampoos\"",\""Dream Coat Supernatural Spray provides heat protection. Do not exceed 380 F degrees for normal to coarse hair types. For chemically treated, fine, or fragile hair do not exceed 300 F degrees\"",\""Features\"",\""Inspired by textile technology, this humidity-proofing formula acts like a raincoat. It wraps each strand in an imperceptible, water-resistant barrier that causes water to bead up and roll off. So you get silky, glossy, glassy, frizz-free hair no matter the weather!\"",\""Formulated Without\"",\""Paraben\"",\""Sulfate\"",\""Gluten\"",\""Item 2564298\""]"",""how_to_use"":""[\""How To Use\"",\""Shampoo, condition, towel dry hair, and divide in sections. Spray liberally and evenly on DAMP (not wet) hair. Do not apply other styling products to damp hair. Blow dry each section using a brush to hold hair taut. Requires blow-drying to activate. For best results, use every 3-4 shampoos.\""]"",""ingredients"":""Aqua/Water, Dipropylene Glycol, Polysilicone-29, SiliconeQuaternium-18, Glycerin, Trideceth-6, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Potassium Sorbate, Phenoxyethanol, Trideceth-12, Sodium Benzoate, Chlorphenesin, Potassium Benzoate, Disodium EDTA, Citric Acid."",""size"":""1.7 oz"",""summary"":""[\""Summary\"",\""Color Wow's Dream Coat Supernatural Spray, inspired by new textile technology, covers each hair strand with an invisible waterproofing cloak. An absolute must for anyone looking to fight frizzy hair or achieve signature glass hair styles.\""]""}",83098,1.05,odele,_filter_items
2,"{""details"":""[\""Benefits\"",\""Super hold up to 120 hours*\"",\""High humidity resistance up to 72 hours**\"",\""Wind resistant up to 25 MPH\"",\""Flake-free finish\"",\""Fast-drying formula\"",\""*vs. untreated hair in high humidity conditions\"",\""**vs. untreated hair\"",\""Item 2084022\""]"",""how_to_use"":""[\""How To Use\"",\""For super hold finish: Shake well. Hold can 8-10\\\"" away, and spray in short bursts. To build volume: Spray between layers at base. To secure long hair dressing: Spray over finished style.\""]"",""ingredients"":""Alcohol Denat., Hydrofluorocarbon 152a, Butyl Ester of PVM/MA Copolymer, Glycerin, Aminomethyl Propanol, Parfum (Fragrance), Dimethyl Stearamine, Ethylhexyl Methoxycinnamate, PEG-75 Lanolin, Aqua (Water, Eau), PPG-5-Ceteth-20, Panthenol, Pentaerythrityl Tetracaprylate/Tetracaprate, Tocopherol, Hexyl Cinnamal."",""size"":""10.0 oz"",""summary"":""[\""Summary\"",\""Highlights\"",\""Cruelty Free\"",\""Kenra Volume Spray 25 provides the maximum amount of volume and hold possible. It leaves hair looking natural and shiny while imparting the strength and volume necessary to make any style last all day.\""]""}",62975,0.79,odele,_filter_items
3,"{""details"":""[\""Benefits\"",\""Reduces breakage and strengthens hair\"",\""Conditions, moisturizes, and hydrates\"",\""Improves manageability and boosts shine\"",\""Key Ingredients\"",\""Panthenol and Glycerin Draws moisture to hair to keep it hydrated and helps prevent breakage.\"",\""Research Results\"",\""90% smoother, better detangling, more conditioned*\"",\""68% reduction in breakage\"",\""*When used as a system of Nº 3, Nº 4, and Nº 5.\"",\""Item 2591016\""]"",""how_to_use"":""[\""How To Use\"",\""After shampooing with No.4 Bond Maintenance® Shampoo, dispense and apply to mid-lengths and ends.\"",\""Leave on for 1-3 minutes. Rinse well.\""]"",""ingredients"":""Water (Aqua/Eau), Cetearyl Alcohol, PPG-3 Benzyl Ether Myristate, Caprylic/Capric Triglyceride, Cetyl Alcohol,Octyldodecyl Ricinoleate, Quaternium-91, Cetrimonium Chloride, Divinyldimethicone/Dimethicone Copolymer, Behentrimonium Chloride, Glycerin, Isododecane, Cetyl Esters, Bis-Aminopropyl Diglycol Dimaleate, Panthenol, Phospholipds, Dimethicone PEG-7 Isostearate, Hydroxypropyl Guar, Glycine Soya (Soybean) Oil, PEG-45M, PEG-7 Amodimethicone, Amodimethicone, C12-13 Pareth-23, C12-13 Pareth-3, Disodium EDTA, Polysilicone-15, Camellia Sinensis Seed Oil, C11-15 Pareth-7, Sodium Polyaspartate, Hydroxypropyl Cyclodextrin, Crambe Abyssinica Seed Oil, Persea Gratissima (Avocado) Oil, Vitis Vinifera (Grape) Seed Oil, Laureth-9, Trideceth-12, Butylene Glycol, Citric Acid, Ahnfeltiopsis Concinna Extract, Silica, Acetic Acid, Etidronic Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Propylene Glycol, Sodium Acetate, PEG-4 Laurate, PEG-4 Dilaurate, BHT, Hydrolyzed Hyaluronic Acid, PEG-4, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Tocopheryl Linoleate/Oleate, Helianthus Annus (Sunflower) Seed Oil, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Punica Granatum Extract, Morinda Citrifolia Fruit Extract, Euterpe Oleracea Fruit Extract, PEG-8/SMDI Copolymer, Palmitoyl Myristyl Serinate, Sodium, Polyacrylate, Tocopherol, Biotin, Phenoxyethanol, Chlorphenesin, Sodium Dehydroacetate, Iodpropynyl Butylcarbamate, Sodium Benzoate, Potassium Sorbate, Fragrance (Parfum), Citral, Hexyl Cinnamal, Limonene."",""size"":""8.5 oz"",""summary"":""[\""Summary\"",\""Highlights\"",\""Vegan\"",\""A reparative conditioner that leaves hair easy to manage, shiny and healthier. OLAPLEX No.5 Bond Maintenance Conditioner benefits all damage-prone hair types and textures.\""]""}",53034,0.67,odele,_filter_items
4,"{""details"":""[\""Benefits\"",\""Reduces breakage and strengthens hair\"",\""Gently cleanses without stripping moisture\"",\""Hydrates, smooths, nourishes, and detangles\"",\""Research Results\"",\""90% smoother, better detangling, more conditioned*\"",\""49% reduction in breakage\"",\""*When used as a system of Nº 3, Nº 4, and Nº 5.\"",\""Key Ingredients\"",\""Gentle Blend of Coconut Oil-Derived Surfactants Provides an easy, abundant lather that leaves the scalp and hair feeling hydrated.\"",\""Item 2591015\""]"",""how_to_use"":""[\""How To Use\"",\""Dispense a coin-sized amount and apply to wet hair.\"",\""Lather thoroughly and rinse well.\"",\""Follow with No.5 Bond Maintenance® Conditioner.\""]"",""ingredients"":""Water (Aqua/Eau), Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Hydroxysultaine, Potassium Cocoyl Glycinate, Disodium Cocoyl Glutamate, Sodium Lauroyl Sarcosinate, Potassium Cocoate, Decyl Glucoside, Glycereth-26, Bis-Aminopropyl Diglycol Dimaleate, Cocamidopropylamine Oxide, Disodium Laureth Sulfosuccinate, Glycol Distearate, Sodium Cocoyl Glutamate, Methyl Gluceth-20, Acrylates Copolymer, PEG-120 Methyl Glucose Dioleate, Amodimethicone, Citric Acid, Sodium Lauryl Sulfoacetate, Polyquaternium-10, Ethylhexylglycerin, DivinylDimethicone/Dimethicone Copolymer, Polyquaternium-11, Trisodium Ethylenediamine Disuccinate, Guar Hydroxypropyltrimonium Chloride, C11-15 Pareth-7, Laureth-9, Glycerin, Trideceth-12, C12-13 Pareth-23, C12-13 Pareth-3, Hydrolyzed Vegetable Protein, PG-Propyl Silanetriol, Panthenol, Acetic Acid, Tetrasodium EDTA, Pentasodium Triphosphate, Sodium Hydroxide, Disodium EDTA, Helianthus Annus (Sunflower) Seed Oil, Tocopherol, Prunus Armeniaca (Apricot) Kernel Oil, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Pseudozyma Epicola/Argania Spinosa Kernel Oil Ferment Filtrate, Quaternium-95, Propanediol, Helianthus Annus (Sunflower) Seed Extract, PEG-8, Euterpe Oleracea Fruit Extract, Punica Granatum Extract, Rosemarinus Officinalis (Rosemary) Leaf Extract, Musa Sapientum (Banana) Fruit Extract, Origanum Vulgare Lear Extract, Morinda Citrifolia Fruit Extract, Articum Lappa Root Extract, PEG-8/SMDI Copolymer, Sodium Hyaluronate, Palmitoyl Myristyl Serinate, Sodium Polyacrylate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Biotin, Benzoic Acid, Phenoxyethanol, Chlorphenesin, Potassium Sorbate, Sodium Benzoate, Fragrance(Parfum), Citral, Hexyl Cinnamal, Limonene."",""size"":""8.5 oz"",""summary"":""[\""Summary\"",\""Highlights\"",\""Vegan\"",\""A reparative shampoo that leaves hair easy to manage, shiny and healthier with each use. OLAPLEX No.4 Bond Maintenance Shampoo is SLS/SLES-free, and proven to reduce breakage and strengthen all types of hair.\""]""}",51900,0.65,odele,_filter_items
5,"{""details"":""[\""Benefits\"",\""Instantly boosts shine, color vibrancy, and softness\"",\""450ºF/232ºC heat protection\"",\""Key Ingredients\"",\""Powered by: A blend of Coconut-Derived Emollient, Vitamin E, and Sunflower Seed Oil Conditions, smoothes, and provides shine\"",\""Research Results\"",\""125% more shine*\"",\""72 Hr frizz control and humidity resistance\"",\""77% reduction in breakage\"",\""450°F/232°C heat protection\"",\""*Compared to bleached hair without application of OLAPLEX No.7 Bonding Oil™.\"",\""Item 2591018\""]"",""how_to_use"":""[\""How To Use\"",\""Uncap and turn bottle upside down.\"",\""Gently tap your index finger on the bottom of the bottle to dispense a metered drop.\"",\""Apply 2-3 drops to damp or dry hair and style as desired.\"",\""Can be used daily on wet and dry hair, before styling with heat, and after styling for added shine and smoothness.\""]"",""ingredients"":""Dimethicone, Isohexadecane, C13-14 Isoparaffin, Coco-Caprylate, Phenyl Trimethicone, Bis-Aminopropyl Diglycol Dimaleate, Propanediol, Zea Mays (Corn) Oil, Beta-Carotene, Helianthus Annuus (Sunflower) Seed Oil, Moringa Oleifera Seed Oil, Punica Granatum Seed Oil, Water (Aqua/Eau), Morinda Citrifolia Fruit Powder, Fragrance (Parfum), Hexyl Cinnamal, Eclipta Prostrata Extract, Ethylhexyl Methoxycinnamate, Limonene, Tocopherol, Citral, Linalool, Melia Azadirachta Leaf Extract, Citronellol, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate."",""size"":""1.0 oz"",""summary"":""[\""Summary\"",\""Highlights\"",\""Vegan\"",\""OLAPLEX No.7 Bonding Hair Oil is a highly-concentrated, weightless reparative styling oil that dramatically increases shine, softness, and maintains color vibrancy. OLAPLEX N°7 Bonding Hair Oil minimizes flyaways and frizz, while providing heat protection of up to 450°F/232°C.\""]""}",47331,0.6,odele,_filter_items
6,"{""details"":""[\""Benefits\"",\""Cleanses while creating soft, silky hair\"",\""Leaves hair silky soft with increased manageability, suppleness and shine\"",\""Provides 15x more conditioning*\"",\""*When used with All Soft Conditioner and Argan-6 oil\"",\""Key Ingredients\"",\""Redken's Moisture Complex featuring Argan Oil\"",\""Item 2580410\""]"",""how_to_use"":""[\""How To Use\"",\""Apply to damp hair. Lather. Rinse. Follow with All Soft Mega Conditioner.\""]"",""ingredients"":""Aqua/Water/Eau, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Dimethicone, Parfum/Fragrance, Sodium Benzoate, Amodimethicone, Carbomer, Glycerin, Guar Hydroxypropyltrimonium Chloride, Trideceth-10, Salicylic Acid, Hexylene Glycol, Glycol Distearate, Citric Acid, Mica, Sodium Cocoyl Amino Acids, Peg-100 Stearate, Phenoxyethanol, Steareth-6, Trideceth-3, Potassium Dimethicone Peg-7 Panthenyl Phosphate, CI 77891/Titanium Dioxide, Sodium Sarcosinate, Benzyl Alcohol, Propylene Glycol, Coumarin, Linalool, Peg-45M, Benzyl Benzoate, Hexyl Cinnamal, Limonene, Aloe Barbadensis Leaf Juice Powder, Arginine, Hydrolyzed Soy Protein, Plukenetia Volubilis Seed Oil, Caramel, Acetic Acid, Fumaric Acid, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Cereus Grandiflorus Flower Extract/Cactus Flower Extract, Glucose, Lactic Acid, Potassium Sorbate, Tetrasodium Edta, BHT, Tocopherol, Sodium Hydroxide."",""size"":""10.1 oz"",""summary"":""[\""Summary\"",\""Highlights\"",\""Vegan\"",\""Sustainable Packaging\"",\""Redken's All Soft Shampoo is a 2024 Cosmopolitan Beauty Awards Winner and cleanses, restores, and softens dry, brittle hair. This professional product provides 15x more conditioning when used with the complete All Soft System of Shampoo, Conditioner and Argan Oil.\""]""}",41836,0.53,odele,_filter_items
7,"{""details"":""[\""Benefits\"",\""Creates soft, silky hair\"",\""Detangles & moisturizes hair\"",\""Leaves hair silky soft with increased manageability, suppleness & shine\"",\""Provides 15x more conditioning*\"",\""*When used with All Soft Shampoo and Argan-6 oil\"",\""Key Ingredients\"",\""Redken's Moisture Complex with Argan Oil to soften, detangle and moisturize hair\"",\""Item 2580408\""]"",""how_to_use"":""[\""How To Use\"",\""Use as a complete system with All Soft Shampoo and Argan-6 Oil. After shampooing, apply and distribute through hair. Rinse. Follow with Argan-6 Oil. In case of contact with eyes, rinse them immediately.\""]"",""ingredients"":""Aqua/Water, Cetearyl Alcohol, Behentrimonium Chloride, Elaeis Guineensis Oil/Palm Oil, Cetyl Alcohol, Isopropyl Alcohol, Phenoxyethanol, Stearamidopropyl Dimethylamine, Octyldodecanol, Sodium Pca, Parfum/Fragrance, Citric Acid, Sodium Cocoyl Amino Acids, Chlorhexidine Dihydrochloride, Stearyl Alcohol, Myristyl Alcohol, Potassium Dimethicone Peg-7 Panthenyl Phosphate, Sodium Sarcosinate, Propylene Glycol, Argania Spinosa Kernel Oil, Arginine, Hydrolyzed Soy Protein, Hydrolyzed Vegetable Protein Pg-Propyl Silanetriol, Sodium Chloride, Tetrasodium Edta, Potassium Sorbate (D184537/1)."",""size"":""10.1 oz"",""summary"":""[\""Summary\"",\""Highlights\"",\""Clean Ingredients\"",\""Vegan\"",\""Sustainable Packaging\"",\""Redken's All Soft Conditioner detangles, conditions and softens dry, brittle hair. This professional product provides 15x more conditioning when used with the complete All Soft System of Shampoo, Conditioner and Argan Oil.\""]""}",41524,0.52,odele,_filter_items
8,"{""details"":""[\""Benefits\"",\""Controls frizz and helps define air-dried styles\"",\""Softens, smooths, and hydrates hair\"",\""450ºF/232ºC heat protection\"",\""Key Ingredients\"",\""Cationic Conditioning Agents Soften hair and provide anti-static action to help smooth hair cuticles.\"",\""Blend of Coconut-Derived Emollient, Vitamin E, and Sunflower Seed Oil Smoothes and provides a subtle shine\"",\""Research Results\"",\""72 Hr frizz control + humidity resistance\"",\""91% easier detangling\"",\""71% reduction in breakage during styling and brushing\"",\""Item 2592990\""]"",""how_to_use"":""[\""How To Use\"",\""1.Apply one pump to clean, damp hair 2.Comb through & style as desired. Begin with one pump. Add more as needed. Can be applied to dry hair for added frizz control and hydration.\""]"",""ingredients"":""Water (Aqua/Eau), Cetearyl Alcohol, Dimethicone, Isohexadecane, Coco-Caprylate, Neopentyl Glycol Diheptanoate, Behentrimonium Chloride, Isododecane, Phenyl Trimethicone, Propanediol, Bis-Aminopropyl Diglycol Dimaleate, Fragrance (Parfum), Cetrimonium Chloride, Phenoxyethanol, Glyceryl Stearate, Isopropyl Alcohol, Hydroxyethylcellulose, Hydroxypropyl Guar, Sodium Stearoyl Lactylate, Hydroxypropyl Cyclodextrin, Hexyl Cinnamal, Limonene, Citral, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Disodium EDTA, Linalool, Citronellol, Iodopropynyl Butylcarbamate, Hydroxycitronellal, Etidronic Acid, Tocopherol, Geraniol, Potassium Sorbate, Helianthus Annuus (Sunflower) Seed Oil, Phytantriol, Sodium Benzoate, Pseudozyma Epicola/Camellia Sinensis Seed Oil Ferment Extract Filtrate, Tocopheryl Acetate, Vitis Vinifera (Grape) Seed Oil, Aloe Barbadensis Leaf Juice, Panthenol, Citric Acid, Gigartina Stellata Extract, Chondrus Crispus (Carrageenan) Extract, Ascorbic Acid, Cocos Nucifera (Coconut) Oil."",""size"":""3.3 oz"",""summary"":""[\""Summary\"",\""Highlights\"",\""Vegan\"",\""OLAPLEX No.6 Bond Smoother is a clinically-proven smoothing styling cream that controls frizz for up to 72 hours. Nourishing, humidity-resistant formula hydrates, softens and repairs all frizz-prone hair types without adding excess weight.\""]""}",34989,0.44,odele,_filter_items
9,"{""details"":""[\""Benefits\"",\""Infused with Biotin\"",\""Use for daily hair care or specialized scalp treatments\"",\""Features more than 30 essential oils and nutrients\"",\""Item 2601408\""]"",""how_to_use"":""[\""How To Use\"",\""Scalp Treatment: Section hair into 4 parts exposing scalp. Apply a small amount of oil to scalp, massage oil in with fingers and comb through to ends of hair. Leave in and style as desired.\"",\""Daily Use: Apply a small amount to scalp and comb through to ends.\"",\""Split End Care: Apply oil to ends of hair, place a processing cap on head and leave on for 10 minutes. Rinse and proceed with shampooing.\""]"",""ingredients"":""Glycine Soja (Soybean) Oil, Ricinus Communis (Castor) Seed Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Mentha Piperita (Peppermint) Oil, Eucalyptus Globolus (Eucalyptus) Leaf Oil, Menthol, Melalueca Alternifolia (Tea Tree) Leaf Oil, Cocos Nucifera (Coconut) Oil, Equisetum Arvense (Horsetail) Extract, Aloe Barbadensis Extract, Lavandula Angustifolia (Lavender) Oil, Triticum Vulgare (Wheat) Germ Oil, Carthamus Tinctorius (Safflower) Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Vitis Vinifera (Grape) Seed Oil, Benzyl Nicotinate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Oryza Sativa (Rice) Bran Oil, Tocopheryl Acetate, Biotin, Arctium Lappa (Burdock) Root Extract, Glycerin, Apium Graveolens (Celery) Seed Extract, Retinyl Palmitate, Cholecalciferol (Vitamin D), Ascorbic Acid, Ocimum, Basilicum (Basil) Oil, Pogostemon Cablin (Patchouli) Oil, Salvia Officinalis (Sage) Oil, Silica, Urtica Dioica (Nettle) Extract"",""size"":""2.0 oz"",""summary"":""[\""Summary\"",\""Encourage stronger and healthier hair with Mielle Organic's organic Rosemary Mint Scalp & Hair Strengthening Oil.\""]""}",34102,0.43,odele,_filter_items
